,,vs mejor embedding,,,,,,,,,,,,,,,,,,,,
Embeddings,Pesos,Media (Diferencia),Media Ponderada (Diferecia),Media,Media Ponderada,SimLex 999,MTurk 287,MTurk 771,MEN DEV,MEN TEST,MEN ALL,WS353 all,WS353 relatedness,WS353 similarity,WS353 set1,WS353 set2,RG65,VERB 143,MC 30,YP 130,SimVerb 3500,RW
W2V+jointcHYB,"[1,2]",0.005,0.008,0.656,0.605,0.5435283506,0.6299004993,0.6969030459,0.7816608719,0.7883619504,0.7841302574,0.7578764555,0.6711072778,0.8266626217,0.7730712243,0.6707716985,0.8658849798,0.3099293589,0.8761544941,0.8172938272,0.5589315136,0.3787312097
W2V+jointcHYB,"[8,1]",-0.008,-0.014,0.643,0.583,0.4766751778,0.6963617595,0.7068187798,0.7885159995,0.7894853788,0.789044576,0.7174448814,0.6516382051,0.796792177,0.6862187955,0.6723040535,0.7975216133,0.5149923464,0.8087237571,0.6371988294,0.4243959145,0.5067281601
W2V+jointcHYB,"[1,8]",0.002,0.005,0.653,0.602,0.5411963015,0.6249594682,0.6926080738,0.7774453038,0.7835678569,0.779829988,0.7563560582,0.6682539385,0.8257674552,0.7732404391,0.668210273,0.8632623442,0.3039363053,0.8772672126,0.8158603767,0.557951047,0.3735501664
W2V+UKB,"[1,1]",0.076,0.067,0.680,0.635,0.5488935926,0.6775800449,0.7313446192,0.8081896672,0.8121926443,0.8098590303,0.7590578803,0.6893184065,0.8161013781,0.7715784482,0.6638749761,0.8642239773,0.3647727956,0.8881718532,0.7904904917,0.5561726997,0.4901561702
W2V+UKB,"[2,1]",0.075,0.055,0.679,0.623,0.5244234918,0.7145745968,0.7373691924,0.8088412669,0.8104267123,0.8096205735,0.7542399696,0.6906940835,0.818049513,0.7387323474,0.6869315555,0.8449694613,0.4809883541,0.8581284555,0.7250633254,0.5021759034,0.5167143646
W2V+UKB,"[1,2]",0.047,0.046,0.651,0.614,0.5377208471,0.6001702768,0.6995330634,0.7793049497,0.7811176718,0.7804849035,0.7328261842,0.6471531007,0.7993134193,0.7733610675,0.6184428639,0.8430680505,0.2757348545,0.8937354454,0.7856238726,0.553142887,0.4590465323
W2V+UKB,"[8,1]",0.012,-0.011,0.616,0.557,0.4515190988,0.6851912563,0.6810146995,0.7758796902,0.7753899618,0.7756883051,0.6961857821,0.6239615638,0.7811906007,0.6661492498,0.6563024573,0.7634054959,0.4776534785,0.7880271942,0.580325861,0.378576904,0.4991325862
W2V+UKB,"[1,8]",0.026,0.029,0.630,0.597,0.5258206643,0.5500947168,0.6800461543,0.7565730568,0.757790326,0.7575979903,0.7144175912,0.6232469166,0.7823999362,0.76495394,0.5929673688,0.8249937206,0.2502214372,0.8741516009,0.7699844902,0.5458669085,0.4410549672
W2V+LEXVEC,"[1,1]",-0.001,-0.003,0.628,0.567,0.4545301209,0.7106350597,0.70089928,0.7904523828,0.788419221,0.78990884,0.7078832656,0.6416140229,0.7882759012,0.6692353257,0.675377764,0.7809115882,0.491040243,0.796706398,0.5681661522,0.3695785871,0.5327379792
W2V+LEXVEC,"[2,1]",-0.013,-0.013,0.616,0.557,0.4461736203,0.6921900834,0.6806799465,0.7780480631,0.7764950902,0.7775533208,0.693393249,0.6296157499,0.7752672952,0.6541919623,0.6600444637,0.7632743642,0.4863724989,0.7884722816,0.5617511878,0.3657312671,0.5204986772
