Embeddings,Media,Media Ponderada,SimLex 999,MTurk 287,MTurk 771,MEN DEV,MEN TEST,MEN ALL,WS353 all,WS353 relatedness,WS353 similarity,WS353 set1,WS353 set2,RG65,VERB 143,MC 30,YP 130,SimVerb 3500,RW
Normalize: False. Generate words: False,,,,,,,,,,,,,,,,,,,
GLOVE+W2V+FT+jointcHYB+LEXVEC,0.685,0.620,0.5109828506,0.736897455,0.7825505654,0.8437699945,0.849667558,0.8458452646,0.8010762821,0.7506385803,0.8489413657,0.7854339572,0.7462178666,0.8801783435,0.4497384505,0.8612440671,0.6880781146,0.4336218505,0.5476034533
GLOVE+W2V+FT+UKB+LEXVEC,0.695,0.628,0.514448664,0.7577502513,0.7894577242,0.8493941377,0.8538321181,0.8510475398,0.8072589492,0.7611790631,0.8536438591,0.7870892466,0.7591067495,0.8834129273,0.4669192078,0.8694781835,0.7040430325,0.4365825778,0.5672296082
GLOVE+W2V+jointcHYB+UKB+LEXVEC,0.705,0.640,0.5409152842,0.7530315742,0.7868100068,0.8454231449,0.8532993664,0.848122441,0.8150438582,0.7653889571,0.8592637548,0.8042888421,0.7573426287,0.8942094436,0.455488162,0.88616896,0.7549715584,0.4885235585,0.535738905
GLOVE+FT+jointcHYB+UKB+LEXVEC,0.713,0.650,0.5524803647,0.7602007144,0.7981496784,0.8564686624,0.8622633738,0.8585531707,0.8211746905,0.7694503725,0.8659043411,0.8103286378,0.7660934781,0.8966135262,0.4505328317,0.8772672126,0.7796712233,0.4971887728,0.5479210139
W2V+FT+jointcHYB+UKB+LEXVEC,0.713,0.652,0.5568833295,0.7537283342,0.7892841553,0.8480270672,0.854454257,0.8502251533,0.8117535743,0.7625573647,0.8612542092,0.7967814013,0.7533141027,0.9028422856,0.4744004693,0.8843886105,0.7620758922,0.5102717994,0.5501213495
GLOVE+W2V+FT+jointcHYB+UKB+LEXVEC,0.706,0.642,0.5397956265,0.7547855311,0.7922335824,0.8504532007,0.8569067949,0.8528019785,0.8144094272,0.7663653166,0.8600377008,0.7998406709,0.7586949713,0.9003726372,0.4645038865,0.871258533,0.7467073334,0.4794763018,0.5518627263
Normalize: True. Generate words: True,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLOVE+W2V,0.643,0.575,0.4479897579,0.7046294707,0.7365008244,0.8254098477,0.8258661776,0.8257582122,0.7623204734,0.7094897531,0.8187431236,0.75064775,0.6996554271,0.8461715026,0.4302670596,0.8409925916,0.587421988,0.3565678813,0.5294057942
GLOVE+FT,0.669,0.604,0.4810969734,0.7413826097,0.7713124457,0.8515555748,0.852921021,0.8521447625,0.7979582809,0.7437725685,0.8476438046,0.7763365674,0.7547534513,0.8538645669,0.4367789748,0.8443307469,0.6382438257,0.3851316478,0.5588447792
GLOVE+jointcHYB,0.688,0.624,0.5313183236,0.7254736367,0.7759566371,0.8404474444,0.8504138954,0.8438376641,0.8028273444,0.7380970104,0.8536761368,0.8091525111,0.7324799256,0.8812711083,0.4129415036,0.867697834,0.7684607651,0.4806328745,0.4815227802
GLOVE+UKB,0.709,0.650,0.5504624026,0.7507862047,0.7830171382,0.8530588778,0.8596743875,0.8554958455,0.8196676611,0.7653019696,0.8672750649,0.8252815299,0.7555545062,0.8927451388,0.3891884982,0.8952932512,0.8112919372,0.5100685085,0.5379116144
GLOVE+LEXVEC,0.640,0.578,0.4625339162,0.7296468358,0.7544810304,0.8297719931,0.8303269464,0.8300899614,0.7756120142,0.7288673389,0.8255508364,0.7540186429,0.7387248534,0.7764968183,0.4020011642,0.8067208639,0.6265163406,0.3494826194,0.5304877057
W2V+FT,0.664,0.602,0.4818120794,0.7290272397,0.7471992677,0.8289338141,0.831944804,0.8299908349,0.7537723649,0.6982462465,0.817766187,0.7281421814,0.7028108932,0.8521817091,0.486987893,0.8654723972,0.5916019733,0.4007529031,0.5692967409
W2V+jointcHYB,0.679,0.620,0.5395715529,0.6968719553,0.7439026243,0.8158676482,0.8222380964,0.8181184954,0.7754540544,0.7162196594,0.8361407712,0.7697053576,0.6998346893,0.8859918523,0.4530748518,0.8652498535,0.71578146,0.5055102076,0.4709349499
W2V+UKB,0.699,0.647,0.5577762115,0.7419191737,0.7602236099,0.830686202,0.8368192037,0.8330313995,0.7810636739,0.7248186717,0.841375487,0.7795767795,0.7103489096,0.8880899607,0.4055446179,0.8857238726,0.7691638124,0.5358363184,0.5272293601
W2V+LEXVEC,0.641,0.578,0.4668787819,0.7181648907,0.7381722462,0.8148642256,0.8164289939,0.8155372011,0.7426674353,0.690635217,0.8092477594,0.7270213428,0.6966102185,0.8123395041,0.4595867671,0.8249694462,0.5714926327,0.3660813138,0.536825507
FT+jointcHYB,0.708,0.654,0.5713282486,0.7206130693,0.7842633438,0.8501058709,0.8536668422,0.8515103028,0.8102891041,0.7537120129,0.8615102785,0.7964580502,0.7479617361,0.9116718253,0.4236525786,0.8886169406,0.7713085169,0.533482845,0.522336725
FT+UKB,0.729,0.675,0.5789117487,0.7544814442,0.7902506582,0.8570308173,0.8622716505,0.8588902017,0.8162397422,0.7678857227,0.8663067357,0.8030624537,0.7643923616,0.9055741976,0.4731596257,0.8981863191,0.8054541827,0.5495145663,0.5848380679
FT+LEXVEC,0.670,0.608,0.4954868686,0.7424512289,0.7765672178,0.8427584222,0.8421970896,0.8424696161,0.7811359699,0.7261321076,0.8404910797,0.7449279547,0.7485572769,0.8367300146,0.4685280812,0.8454434654,0.620229949,0.3933461938,0.5726792325
jointcHYB+UKB,0.656,0.605,0.5503969974,0.6598827555,0.7032064185,0.7862944642,0.7975833217,0.7901839609,0.7659793302,0.6947704967,0.8344537266,0.7808936393,0.6869713082,0.8790418681,0.2295580858,0.8957383385,0.8299596205,0.5717153291,0.3445504134
jointcHYB+LEXVEC,0.688,0.632,0.5527553518,0.7226053714,0.7761993036,0.8356780773,0.8432342699,0.8381875153,0.798397922,0.7375668368,0.8518707408,0.7882888287,0.7434869296,0.8635901737,0.4098323557,0.859908805,0.7484198144,0.4970989249,0.4996766922
UKB+LEXVEC,0.705,0.651,0.5562293317,0.7465439642,0.7826239964,0.8431866869,0.8471971403,0.8446128141,0.8087583398,0.7559740623,0.8636104769,0.7970427628,0.7594915259,0.8788014598,0.4183533517,0.8628018729,0.7943121144,0.5161690819,0.5488289012
GLOVE+W2V+FT,0.664,0.598,0.4711679737,0.72674075,0.7598702536,0.8404175653,0.8428045597,0.8413555149,0.7822819288,0.7278988533,0.8329345257,0.7642083897,0.7323381659,0.8643113984,0.453475059,0.848559077,0.6131009949,0.383422585,0.5587636522
GLOVE+W2V+jointcHYB,0.681,0.617,0.511770036,0.7189073399,0.7685308009,0.8349879866,0.8418446907,0.8374521899,0.7962924732,0.7425262479,0.8449848444,0.791874172,0.7296732333,0.8905596092,0.4389449207,0.8596862613,0.6969004005,0.4509759538,0.5187535706
GLOVE+W2V+UKB,0.700,0.638,0.5311417873,0.7506458374,0.7811673558,0.8461934413,0.8513421581,0.8481786796,0.8086327086,0.7610879512,0.8557390366,0.8024794165,0.7486570337,0.8985367923,0.4266591608,0.8799377368,0.7416902568,0.4750710317,0.5547986448
GLOVE+W2V+LEXVEC,0.649,0.582,0.4612635882,0.7238026818,0.7537165707,0.8283490226,0.8305515997,0.8292861008,0.7720928387,0.7225926171,0.8266411033,0.7565819958,0.7235618147,0.8305012552,0.4327205916,0.8234116404,0.6134785067,0.3600203124,0.5392709417
GLOVE+FT+jointcHYB,0.698,0.637,0.5360646296,0.7388014248,0.7920424446,0.8551641276,0.8607179118,0.8571982793,0.8139006274,0.7575057168,0.8638392895,0.8038783706,0.7565918273,0.8985367923,0.4292796135,0.8652498535,0.7378002442,0.4698486594,0.5434439266
GLOVE+FT+UKB,0.718,0.655,0.5504866376,0.7661431001,0.8013327519,0.8632848338,0.8679145108,0.8650875518,0.828126832,0.7807426222,0.873399209,0.8146528299,0.7770629795,0.9018806526,0.4539054327,0.8888394843,0.7738963875,0.488510641,0.5759338347
GLOVE+FT+LEXVEC,0.666,0.600,0.4814453096,0.7433398835,0.7730393238,0.8454515567,0.8457291695,0.8456779871,0.7926524407,0.7415723852,0.8420059769,0.7618879689,0.7583897004,0.8267639996,0.4394074718,0.8470012712,0.637114026,0.3780286451,0.5585339627
GLOVE+jointcHYB+UKB,0.711,0.653,0.5619877332,0.7455882988,0.7721370615,0.844565854,0.8553020935,0.8483595619,0.8158024199,0.7566493401,0.866999629,0.8179282253,0.7501743877,0.8935100741,0.4225143006,0.8910649211,0.8258644385,0.5468717107,0.5024279239
GLOVE+jointcHYB+LEXVEC,0.683,0.620,0.5208091086,0.736223032,0.7836110925,0.8425294861,0.8490889633,0.8448126651,0.803345147,0.7498958122,0.8494061637,0.7941208755,0.749245824,0.8562249388,0.4174021052,0.8518972323,0.7258894744,0.4432755745,0.5250733702
GLOVE+UKB+LEXVEC,0.697,0.636,0.5331850257,0.7597737744,0.7925162963,0.8507736522,0.8550661446,0.8522841895,0.8168122442,0.769266649,0.8622383186,0.8038783706,0.7663642467,0.8650326232,0.4055165526,0.8605764361,0.7660479725,0.4634949903,0.5526313142
W2V+FT+jointcHYB,0.695,0.636,0.5392483063,0.7224959712,0.7733881357,0.8386449896,0.8455772,0.8409589138,0.7916664877,0.7395934201,0.8459366761,0.7740345759,0.728587909,0.8989738982,0.4653586006,0.878379931,0.7061685879,0.4850523811,0.5450244133
W2V+FT+UKB,0.715,0.656,0.5536956267,0.7592039287,0.7873254637,0.8488571333,0.8544606011,0.8508097536,0.7999019504,0.7525867998,0.8531668673,0.7864442198,0.7400224422,0.897706291,0.4884861564,0.893290358,0.7466909199,0.5061141718,0.5798603734
