Embeddings,Weigths,SimLex 999,MTurk 287,MTurk 771,MEN DEV,MEN TEST,MEN ALL,WS353 all,WS353 relatedness,WS353 similarity,WS353 set1,WS353 set2,RG65,VERB 143,MC 30,YP 130,SimVerb 3500,RW
GLOVE+W2V+FT+jointcHYB+UKB,[2 1 5 3 4],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9975417896
FT+jointcHYB+UKB+LEXVEC,[3 1 4 2],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9980334317
GLOVE+FT+jointcHYB+UKB+SKE,[2 5 3 4 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
W2V+FT+jointcHYB+UKB+LEXVEC,[1 2 1 2 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9980334317
GLOVE+FT+jointcHYB+UKB+LEXVEC,[2 5 3 4 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9980334317
GLOVE+W2V+FT+jointcHYB+UKB,[1 1 3 2 2],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9975417896
GLOVE+FT+jointcHYB+UKB,[1 1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9975417896
FT+jointcHYB+UKB+LEXVEC,[1 1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9980334317
FT+jointcHYB+UKB+SKE,[1 1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
W2V+FT+jointcHYB+UKB+LEXVEC,[1 1 1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9980334317
GLOVE+W2V+LEXVEC+SKE+PDC,[1 1 1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9995083579
GLOVE+W2V+FT+LEXVEC+SKE,[1 1 1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9995083579
GLOVE+W2V+FT+SKE+PDC,[1 1 1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9995083579
FT+jointcHYB+UKB+LEXVEC+GLOVE+W2V+SKE+PDC,"[1,1,1,1,1,1,1,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FT+jointcHYB+UKB+LEXVEC+GLOVE+W2V+SKE+PDC,"[2,2,1,1,1,1,1,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FT+jointcHYB+UKB+LEXVEC+GLOVE+W2V+SKE+PDC,[8 7 6 5 4 3 2 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FT+jointcHYB+UKB+LEXVEC+GLOVE+W2V+SKE+PDC,[4 4 4 4 1 1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9975417896
