,vs media (NO MAPPING),,vs mejor word embedding,,,,,,,,,,,,,,,,,,,,
Embeddings,Media (Diferencia),Media Ponderada (Diferecia),Media (Diferencia),Media Ponderada (Diferecia),Media,Media Ponderada,SimLex 999,MTurk 287,MTurk 771,MEN DEV,MEN TEST,MEN ALL,WS353 all,WS353 relatedness,WS353 similarity,WS353 set1,WS353 set2,RG65,VERB 143,MC 30,YP 130,SimVerb 3500,RW
Normalize: False. Generate words: False,,,,,,,,,,,,,,,,,,,,,,,
GLOVE + W2V + jointcHYB + LEXVEC,0.043,0.042,0.024,0.038,0.678,0.611,0.5092213878,0.7287713803,0.7717793457,0.8366337669,0.8417267402,0.8383826309,0.7985232805,0.7504953509,0.8430546416,0.7852429623,0.7406922381,0.8737528864,0.4488917808,0.8632469603,0.6701080074,0.4252000258,0.5282652429
GLOVE + W2V + UKB + LEXVEC,0.047,0.046,0.056,0.012,0.686,0.622,0.5217868163,0.7488840118,0.7847989618,0.8444318002,0.850783724,0.846673855,0.8044875593,0.7639480395,0.8465105008,0.7894733323,0.7530290832,0.8689010106,0.4301363386,0.8732614262,0.6859580304,0.4326492996,0.5503094059
GLOVE + FT + jointcHYB + UKB,0.038,0.042,0.040,0.034,0.715,0.654,0.5686990597,0.7507704673,0.7971576337,0.8593485456,0.8682913197,0.8625846287,0.8250146963,0.776929796,0.8696693484,0.8228522085,0.7606061022,0.9078690037,0.4420761907,0.8846111542,0.7869096011,0.5217435104,0.5136419882
GLOVE + FT + jointcHYB + LEXVEC,0.033,0.033,0.015,0.006,0.690,0.626,0.5254424841,0.7428827378,0.7887139623,0.8510847094,0.8561218229,0.8527353367,0.8118365101,0.7627054684,0.8570244039,0.7913950093,0.7608498689,0.8751297701,0.4438841622,0.8607989798,0.7072081131,0.4414214674,0.5420800794
GLOVE + FT + UKB + LEXVEC,0.037,0.037,0.025,0.017,0.700,0.637,0.5373292705,0.7654516705,0.8008046092,0.8580134129,0.8649452225,0.860409687,0.8189205576,0.7787175386,0.8592013513,0.8006900957,0.7734064791,0.8809214235,0.4432707792,0.8710359893,0.7110297358,0.4493842174,0.5666413818
GLOVE + jointcHYB + UKB + LEXVEC,0.050,0.048,0.051,0.031,0.705,0.641,0.5584700916,0.7513898096,0.7918250449,0.850691587,0.8602282781,0.8539846763,0.8208868708,0.7733325637,0.8633730569,0.8180438275,0.7547316998,0.8860355629,0.4360107378,0.885501329,0.7680039212,0.5000144563,0.5008493396
W2V + FT + jointcHYB + UKB,0.039,0.032,0.056,0.043,0.710,0.653,0.5704682317,0.731627208,0.7835485196,0.8475641339,0.8554916534,0.8502948054,0.8063549771,0.7579151579,0.8584876569,0.8019432904,0.7309595714,0.9052245129,0.4533282493,0.8941805327,0.7669671316,0.5326282199,0.5180482479
W2V + FT + jointcHYB + LEXVEC,0.026,0.019,0.034,0.052,0.688,0.625,0.5257691911,0.7284639936,0.7787754621,0.8384552917,0.8449023819,0.8405685054,0.7932173039,0.741275428,0.8447646392,0.7680852516,0.7385208394,0.8902973456,0.4625732384,0.8799377368,0.6723265729,0.4515909433,0.5457205514
W2V + FT + UKB + LEXVEC,0.033,0.020,0.021,0.017,0.696,0.637,0.5377677705,0.7524426914,0.7916303331,0.8456982634,0.8538385282,0.8484266436,0.7988962184,0.7540805848,0.8486759718,0.7750146815,0.7482865083,0.8835877697,0.4673234373,0.8685880088,0.6762767685,0.46197787,0.5693638171
W2V + jointcHYB + UKB + LEXVEC,0.048,0.032,0.048,0.032,0.702,0.642,0.5624788756,0.7373627232,0.7794913519,0.8394766424,0.8488084018,0.842685266,0.8037433203,0.7529373744,0.8543073439,0.7954930232,0.7346678254,0.8870190512,0.4616320474,0.8859464163,0.7450358864,0.5132541259,0.5064440696
