Embeddings,Weigths,SimLex 999,MTurk 287,MTurk 771,MEN DEV,MEN TEST,MEN ALL,WS353 all,WS353 relatedness,WS353 similarity,WS353 set1,WS353 set2,RG65,VERB 143,MC 30,YP 130,SimVerb 3500,RW
GLOVE+W2V+jointcHYB+UKB+PDC,[1 1 1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+W2V+jointcHYB+LEXVEC+PDC,[1 1 1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+W2V+UKB+LEXVEC+PDC,[1 1 1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+FT+jointcHYB+UKB+LEXVEC,[1 1 1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+FT+jointcHYB+UKB+PDC,[1 1 1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+FT+jointcHYB+LEXVEC+PDC,[1 1 1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+FT+UKB+LEXVEC+PDC,[1 1 1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+jointcHYB+UKB+LEXVEC+PDC,[1 1 1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
W2V+FT+jointcHYB+UKB+LEXVEC,[1 1 1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
W2V+FT+jointcHYB+UKB+PDC,[1 1 1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
W2V+FT+jointcHYB+LEXVEC+PDC,[1 1 1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
W2V+FT+UKB+LEXVEC+PDC,[1 1 1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
W2V+jointcHYB+UKB+LEXVEC+PDC,[1 1 1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
FT+jointcHYB+UKB+LEXVEC+PDC,[1 1 1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+W2V+FT+jointcHYB+UKB+LEXVEC,[1 1 1 1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+W2V+FT+jointcHYB+UKB+PDC,[1 1 1 1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+W2V+FT+jointcHYB+LEXVEC+PDC,[1 1 1 1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+W2V+FT+UKB+LEXVEC+PDC,[1 1 1 1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+W2V+jointcHYB+UKB+LEXVEC+PDC,[1 1 1 1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+FT+jointcHYB+UKB+LEXVEC+PDC,[1 1 1 1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
W2V+FT+jointcHYB+UKB+LEXVEC+PDC,[1 1 1 1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+W2V+FT+jointcHYB+UKB+LEXVEC+PDC,[1 1 1 1 1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
